Jenis_Pelanggaran,Pasal,Sanksi,Penjelasan,Kata_Kunci,Severity
Tidak Menggunakan Helm SNI,Pasal 291 ayat (1) UU No. 22 Tahun 2009,Kurungan paling lama 1 bulan atau denda paling banyak Rp250.000,Setiap pengendara dan penumpang sepeda motor wajib menggunakan helm yang memenuhi standar nasional Indonesia (SNI).,tanpa helm;tidak pakai helm;tidak memakai helm;tidak menggunakan helm;ga pakai helm;gak pakai helm;helm tidak ada;no helm,medium
Tidak Memiliki SIM,Pasal 281 UU No. 22 Tahun 2009,Kurungan paling lama 4 bulan atau denda paling banyak Rp1.000.000,Setiap pengemudi kendaraan bermotor di jalan wajib memiliki Surat Izin Mengemudi (SIM) sesuai dengan jenis kendaraan yang dikemudikan.,tanpa sim;tidak bawa sim;tidak memiliki sim;ga bawa sim;gak punya sim;tidak membawa sim;lupa bawa sim;belum punya sim;sim tidak ada,high
Tidak Membawa STNK,Pasal 288 ayat (1) UU No. 22 Tahun 2009,Kurungan paling lama 2 bulan atau denda paling banyak Rp500.000,Setiap pengemudi wajib membawa Surat Tanda Nomor Kendaraan Bermotor (STNK) sebagai bukti legalitas kendaraan.,tanpa stnk;tidak bawa stnk;tidak membawa stnk;ga bawa stnk;lupa bawa stnk;stnk tidak ada;stnk hilang,medium
Tidak Memasang Kaca Spion,Pasal 285 ayat (1) UU No. 22 Tahun 2009,Kurungan paling lama 1 bulan atau denda paling banyak Rp250.000,Sepeda motor yang dioperasikan di jalan wajib dilengkapi dengan kaca spion sesuai persyaratan teknis dan laik jalan.,tanpa spion;tidak ada spion;spion rusak;tidak punya spion;ga ada spion;spion copot;spion hilang;tidak dipasang spion,low
Melebihi Kapasitas Penumpang Motor,Pasal 292 UU No. 22 Tahun 2009,Kurungan paling lama 1 bulan atau denda paling banyak Rp250.000,Pengemudi sepeda motor dilarang membonceng penumpang lebih dari 1 orang di belakangnya.,bonceng 3;bonceng tiga;bertiga di motor;3 orang di motor;tiga orang di motor;penumpang 3;kelebihan penumpang;bonceng lebih dari satu,medium
Menerobos Lampu Merah,Pasal 287 ayat (2) UU No. 22 Tahun 2009,Kurungan paling lama 2 bulan atau denda paling banyak Rp500.000,Setiap pengemudi wajib mematuhi perintah atau isyarat alat pemberi isyarat lalu lintas (APILL).,lampu merah;terobos lampu;menerobos lampu;lompat lampu;lewat lampu merah;tidak berhenti lampu merah;terobos sinyal;lari dari lampu,high
Menggunakan Ponsel Saat Berkendara,Pasal 283 UU No. 22 Tahun 2009,Kurungan paling lama 3 bulan atau denda paling banyak Rp750.000,Setiap orang yang mengemudikan kendaraan bermotor dilarang menggunakan telepon yang mempengaruhi konsentrasi mengemudi.,main hp;pakai hp saat berkendara;menggunakan hp saat;telepon saat berkendara;pegang hp saat;texting sambil;whatsapp sambil;nyetir sambil hp;hp sambil nyetir;nelpon sambil nyetir;ngetik sambil nyetir,high
Tidak Menyalakan Lampu Utama,Pasal 293 ayat (1) UU No. 22 Tahun 2009,Kurungan paling lama 1 bulan atau denda paling banyak Rp250.000,Pengemudi diwajibkan menyalakan lampu utama kendaraan bermotor pada malam hari dan kondisi tertentu yang memerlukan lampu.,tidak menyalakan lampu;tanpa lampu;lampu mati;tidak pakai lampu;lampu tidak nyala;ga nyalain lampu;lampu depan mati,low
Tidak Menggunakan Sabuk Pengaman,Pasal 289 UU No. 22 Tahun 2009,Kurungan paling lama 1 bulan atau denda paling banyak Rp250.000,Setiap pengemudi dan penumpang kendaraan bermotor beroda 4 atau lebih wajib menggunakan sabuk keselamatan.,tidak pakai sabuk;tanpa sabuk;tidak menggunakan sabuk;lupa sabuk;ga pakai sabuk;sabuk pengaman tidak;no seatbelt,medium
Melebihi Batas Kecepatan,Pasal 287 ayat (5) UU No. 22 Tahun 2009,Kurungan paling lama 2 bulan atau denda paling banyak Rp500.000,Pengemudi wajib mematuhi batas kecepatan yang telah ditetapkan sesuai dengan rambu lalu lintas dan ketentuan yang berlaku.,ngebut;ugal-ugalan;melebihi batas kecepatan;kebut;ngegas terus;terlalu cepat;kecepatan melebihi;melaju kencang;balapan di jalan,high
Tidak Memasang Tanda Nomor Kendaraan,Pasal 280 UU No. 22 Tahun 2009,Kurungan paling lama 2 bulan atau denda paling banyak Rp500.000,Setiap kendaraan bermotor yang dioperasikan di jalan wajib dilengkapi TNKB yang sah sesuai peraturan Kepolisian Negara RI.,plat nomor;tidak ada plat;plat palsu;tanpa plat;nopol tidak sesuai;nomor polisi tidak;tnkb tidak ada;plat tidak terpasang,medium
Melanggar Rambu Lalu Lintas,Pasal 287 ayat (1) UU No. 22 Tahun 2009,Kurungan paling lama 2 bulan atau denda paling banyak Rp500.000,Pengemudi wajib mematuhi ketentuan rambu perintah atau rambu larangan yang ditempatkan sebagai petunjuk lalu lintas.,rambu larangan;tidak patuh rambu;langgar rambu;abaikan rambu;terobos rambu lalu lintas,medium
